k,SSE
2,2026243.7959803105
3,2018701.717441924
4,2008121.4873447674
5,2001288.4526049127
6,1991455.963071185
7,1981825.8049486782
8,1973392.640316561
9,1968943.9281185542
10,1955058.1368692045
11,1951683.830264165
12,1940748.6530867089
13,1932578.1214716246
14,1922785.540510731
15,1917901.0976860248
16,1910034.8042978947
17,1902603.4422347199
18,1892978.647727581
19,1884452.943853628
20,1877103.8187113209
