k,SSE,silhouette,calinski,davies,tanpsi,kneedle_distance
2,2026243.7959803103,0.03918847145651598,67.87659415006922,9.67172284688913,0.0,0.0
3,2018701.717441924,-0.012461074016804756,52.73827232601907,7.633176304123372,3.807354067105679e-05,0.08973156443781116
4,2008121.4873447681,-0.008916354165628287,52.89480981933952,7.33269498223265,-5.1831954751852535e-05,0.18721741286079782
5,2001288.4526049132,-0.005051178055838145,48.334101427290484,7.089827570092393,4.464421519798218e-05,0.011909945071524309
6,1991455.9630711852,-0.0031448840743588413,48.72367720884353,7.728283648895491,-2.1368123997024277e-06,0.19861262965817345
7,1981825.8049486778,-0.0005948689035704377,48.88898252637746,5.3153940810697335,-1.473899211283715e-05,0.3608955346382006
8,1973392.6403165602,-0.0840663654902057,48.17958997977624,4.80258678465956,-0.00010620470223814799,0.3787109194761863
9,1968943.9281185537,-0.08149926396169122,45.07020711256899,5.428511507633344,0.00015276808802390927,0.0843651682806515
10,1955058.1368692047,-0.07995553341466917,48.226426773256485,5.833340097563171,-0.00022434111645216012,0.591538545337969
11,1951683.8302641646,-0.07696249459351484,45.20149246570554,4.635488798993017,0.00020490918497913642,0.0012096859090107183
12,1940748.6530867086,-0.07400221728278616,46.43589822902805,5.0735695960597935,-3.094306412419226e-05,0.3185785590082789
13,1932578.1214716246,-0.07149469174251857,46.26046647783648,4.289663656376385,2.0272932348258753e-05,0.304696243747739
14,1922785.5405107313,-0.07042701801563822,46.827238911734774,4.841490654867755,-0.00010261351558214431,0.4865822834686276
15,1917901.0976860248,-0.06828243302011436,45.40519920731349,5.335314841932538,7.760696381209566e-05,0.0760953898842539
16,1910034.8042978947,-0.06621264274233171,45.289663866161014,4.414367406106702,-7.440157328627882e-06,0.025493959162085023
17,1902603.4422347194,-0.08257630608939749,45.057663019878994,2.8031133969365802,3.0666511129215586e-05,0.07760019641847558
18,1892978.6477275821,-0.08184063728762847,45.60404251366464,4.434595198425171,-1.3394046161746967e-05,0.08403536317685206
19,1884452.9438536274,-0.08062058006326374,45.769698264146335,4.064854053348125,-1.8778249276895287e-05,0.11301949278359663
20,1877103.8187113204,-0.078970327794795,45.58264798130678,4.548316966005739,0.0,0.0
